,compounds
809,καύσων / kauswn
810,παρεμφαίνω / paremfainw
811,ἐμπελάζω / empelazw
812,Ἰουδαῖος / Ioudaios
813,τείρων / teirwn
814,Αἰτωλικός / Aitwlikos
815,ὑπεροπτάω / uperoptaw
816,χειραπτάζω / xeiraptazw
817,διαφορέω / diaforew
818,περιφλεύω / perifleuw
819,φατνόω / fatnow
820,μετάδοσις / metadosis
821,στηλίτης / sthliths
822,πολύπλοκος / poluplokos
823,κιβδηλεύω / kibdhleuw
824,Ὡγυγία / Wgugia
825,στύξ / stuc
826,ἑδραιόω / edraiow
827,Τίμαιος / Timaios
828,συμπλήρης / sumplhrhs
829,ἐπιθάλλω / epiqallw
830,βλαισός / blaisos
831,σάκχαρ / sakxar
832,παραδιορθόω / paradiorqow
833,προθυμέομαι / proqumeomai
834,ἀελλής / aellhs
835,ἐκλέγω / eklegw
836,περικλύζω / perikluzw
837,ἀλήτης / alhths
838,λαχγάνω / laxganw
839,ἐνέψω / eneyw
840,πενθέω / penqew
841,ὀρθότονος / orqotonos
842,ἀδνᾶτος / adnatos
843,συνδιάκτορος / sundiaktoros
844,μεταστρέφω / metastrefw
845,ὀρνιθεύς / orniqeus
846,Παλαιστίνη / Palaistinh
847,κελητίζω / kelhtizw
848,ὑπερπαθής / uperpaqhs
849,Κῖνυψ / Kinuy
850,Κελτός / Keltos
851,φθονερός / fqoneros
852,ἐπίσκοτος / episkotos
853,ἀκοινώνητος / akoinwnhtos
854,μηνιάω / mhniaw
855,πλέθρος / pleqros
856,ἐξουδενίζω / ecoudenizw
857,θεμιστός / qemistos
858,βασκάνιον / baskanion
859,μάππα / mappa
860,ἀθύρω / aqurw
861,ὑβόομαι / uboomai
862,πετροβόλος / petrobolos
863,συναποβάλλω / sunapoballw
864,βοθρεύω / boqreuw
865,ῥυτῆ / ruth
866,τυρίον / turion
867,Φηγαία / Fhgaia
868,στομαλγέω / stomalgew
869,καταγαπάω / katagapaw
870,ὅμευνος / omeunos
871,ἀπρόπτωτος / aproptwtos
