lemma,derivation,meaning,lsj_ulr,pos
κλητήρ,['καλέω'],- summoner; witness who gave evidence that the legal summons had been served,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=klhth/r,noun
προμνήστωρ,"['πρό', 'μνάομαι']",,,
ἐπιρυτήρ,[],,,
Νομήτωρ,[],,,noun
δωρητήρ,['δωρέω'],- giver,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=dwrhth/r,noun
μονομάτωρ,[],,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=monoma/twr,noun
παυστήρ,['παύω'],- one who stops; relieves,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=pausth/r,noun
καλυπτήρ,['καλύπτω'],"- covering, sheath",https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=kalupth/r,noun
λείτωρ,[],- priest,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=lei/twr,noun
αἰχμητήρ,['αἰχμή'],,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=ai)xmhth/r,noun
κριντήρ,['κρίνω'],,,
ἱεροπράκτωρ,"['ἱερός', 'πράκτωρ']",,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=i(eropra/ktwr,
σβεστήρ,[],- extinguisher,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=sbesth/r,noun
ἀποδοτήρ,"['ἀπό', 'δίδωμι']",,,
φύτωρ,['φύω'],- father,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=fu/twr,noun
κρεμαστήρ,['κρεμάννυμι'],- suspender; vasa deferentia; muscle suspending the ovaries,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=kremasth/r,noun
θαλασσοκράτωρ,"['θάλασσα', 'κράτος']",- master of the sea,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=qalassokra/twr,noun
ψαλτήρ,['ψάλλω'],,,
παγγενέτωρ,"['πᾶς', 'γίγνομαι']",,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=paggene/twr,noun
ὑπαφήτωρ,"['ὑπό', 'ἀφήτωρ']",,,
ἀνακρεμαστήρ,"['ἀνά', 'κρεμάννυμι']",,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=a)nakremasth/r,noun
ὑλιστήρ,['ὑλίζω'],"- filter, colander",https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=u(listh/r,noun
Κάστωρ,[],,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=*ka/stwr,noun
ἕρκτωρ,['ἔρδω'],- a doer,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=e(/rktwr,noun
πλήκτωρ,[],,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=plh/ktwr,
Διογενέτωρ,"['Ζεύς', 'γενέτωρ']",- giving birth to Zeus; of Zeus,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=*diogene/twr,noun
ἐλατήρ,['ἐλαύνω'],"- driver; charioteer
- one that drives away
- a broad, flat cake
- hoopstick",https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=e)lath/r,noun
ἐρευνητήρ,['ἐρευνάω'],,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=e)reunhth/r,noun
χρυσοπάτωρ,[],,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=xrusopa/twr,noun
ὀπωπητήρ,[],,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=o)pwphth/r,noun
φρυγανιστήρ,['φρυγανίζω'],- one who gathers firewood,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=fruganisth/r,noun
τοιχοδιφήτωρ,"['τοῖχος', 'διφήτωρ']",- one who creeps through a hole in the wall,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=toixodifh/twr,noun
βιοδώτωρ,"['βίος', 'δίδωμι']",- furnishing a livelihood,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=biodw/twr,noun
παιδολέτωρ,"['παῖς', 'ὄλλυμι']",- child-murdering,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=paidole/twr,noun
ὀγάστωρ,[],,,
ἀμπαιστήρ,[],- door-knocker,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=a)mpaisth/r,noun
οἰνομήτωρ,"['οἶνος', 'μήτηρ']",- mother of wine,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=oi)nomh/twr,noun
προγεννήτωρ,"['πρό', 'γεννάω']",- forefathers,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=progennh/twr,noun
νιπτήρ,['νίζω'],"- washing-vessel, basin",https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=nipth/r,noun
πολυΐστωρ,"['πολύς', 'ἵστωρ']",,,noun
ὁμοπλωτήρ,"['ὁμός', 'πλέω']",- one who sails in company,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=o(moplwth/r,noun
ἁρμοστήρ,['ἁρμόζω'],- laid with the grain,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=a(rmosth/r,noun
ἑλικτήρ,['ἑλίσσω'],- anything twisted; ear-ring,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=e(likth/r,noun
κρατήρ,['κεράννυμι'],"- mixing vessel; bowl, in which wine was mixed with water
- any cup-shaped hollow, basin",https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=krath/r,noun
ἀρητήρ,['ἀράομαι'],- one that prays; priest,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=a)rhth/r,noun
οἰκήτωρ,['οἰκέω'],- inhabitant,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=oi)kh/twr,noun
ἀμύκτηρ,['μυκτήρ'],- without nose,https://www.perseus.tufts.edu/hopper/text?doc=Perseus:text:1999.04.0057:entry=a)mu/kthr,
