lemma,derivation,lemma_raw,lemma_betacode,lemma_betacode_raw,derivation_raw,derivation_betacode,prefix,prefix_betacode,query_lemmas
Μνήμων,,Μνήμων,*Mnh/mwn,Mnhmwn,[],[],[],[],Μνημων / Mnhmwn
συνερπύζω,"σύν, ἑρπύζω",συνερπύζω,sunerpu/zw,sunerpuzw,"['σύν', 'ἑρπύζω']","['sun', 'erpuzw']",['σύν'],['sun'],συνερπυζω / sunerpuzw
διόγνητος,,διόγνητος,dio/gnhtos,diognhtos,[],[],[],[],διογνητος / diognhtos
αἰπύνοος,"αἰπύς, νοῦς",αἰπύνοος,ai)pu/noos,aipunoos,"['αἰπύς', 'νοῦς']","['aipus', 'nous']",[],[],αιπυνοος / aipunoos
κατασίνομαι,"κατά, σίνομαι",κατασίνομαι,katasi/nomai,katasinomai,"['κατά', 'σίνομαι']","['kata', 'sinomai']",['κατά'],['kata'],κατασινομαι / katasinomai
ὑπόσαθρος,"ὑπό, σαθρός",ὑπόσαθρος,u(po/saqros,uposaqros,"['ὑπό', 'σαθρός']","['upo', 'saqros']",['ὑπό'],['upo'],υποσαθρος / uposaqros
δαύω,see ἰαύω,δαύω,dau/w,dauw,[],[],[],[],δαυω / dauw
Πυθιονίκας,,Πυθιονίκας,*Puqioni/kas,Puqionikas,[],[],[],[],Πυθιονικας / Puqionikas
Δημύλος,,Δημύλος,*Dhmu/los,Dhmulos,[],[],[],[],Δημυλος / Dhmulos
ἀργιόδους,"ἀργός, ὀδούς",ἀργιόδους,a)rgio/dous,argiodous,"['ἀργός', 'ὀδούς']","['argos', 'odous']",[],[],αργιοδους / argiodous
ἐνεξουσιάζω,"ἐν, ἐξουσιάζω",ἐνεξουσιάζω,e)necousia/zw,enecousiazw,"['ἐν', 'ἐξουσιάζω']","['en', 'ecousiazw']",['ἐν'],['en'],ενεξουσιαζω / enecousiazw
ζύγαστρον,ζυγόν,ζύγαστρον,zu/gastron,zugastron,['ζυγόν'],['zugon'],[],[],ζυγαστρον / zugastron
ἔκχρησις,"ἐκ, χρῆσις",ἔκχρησις,e)/kxrhsis,ekxrhsis,"['ἐκ', 'χρῆσις']","['ek', 'xrhsis']",['ἐκ'],['ek'],εκχρησις / ekxrhsis
Ἀσίνη,,Ἀσίνη,*)Asi/nh,Asinh,[],[],[],[],Ασινη / Asinh
λογοκλοπία,"λόγος, κλοπεία",λογοκλοπία,logoklopi/a,logoklopia,"['λόγος', 'κλοπεία']","['logos', 'klopeia']",[],[],λογοκλοπια / logoklopia
ὑποτροπικός,ὑποτροπή,ὑποτροπικός,u(potropiko/s,upotropikos,['ὑποτροπή'],['upotroph'],[],[],υποτροπικος / upotropikos
αὔλιος,αὐλή,αὔλιος,au)/lios,aulios,['αὐλή'],['aulh'],[],[],αυλιος / aulios
ἑλμινθιάω,ἕλμινς,ἑλμινθιάω,e(lminqia/w,elminqiaw,['ἕλμινς'],['elmins'],[],[],ελμινθιαω / elminqiaw
κυναναιδής,,κυναναιδής,kunanaidh/s,kunanaidhs,[],[],[],[],κυναναιδης / kunanaidhs
ἀσυνετίζομαι,,ἀσυνετίζομαι,a)suneti/zomai,asunetizomai,[],[],[],[],ασυνετιζομαι / asunetizomai
ὀλιγορρημοσύνη,"ὀλίγος, ῥήμων",ὀλιγορρημοσύνη,o)ligorrhmosu/nh,oligorrhmosunh,"['ὀλίγος', 'ῥήμων']","['oligos', 'rhmwn']",[],[],ολιγορρημοσυνη / oligorrhmosunh
ὡριαίνω,,ὡριαίνω,w(riai/nw,wriainw,[],[],[],[],ωριαινω / wriainw
ἔστε 2,,ἔστε,e)/ste,este,[],[],[],[],εστε / este
